fgood,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,tob,dpd,dep,dc,od,home,dd,online,period
No,1,3,0,30.16804184,7,No,No,P,2,Medium,10549,32,0,No,0,No,5/31/2018
No,1,1,0,38.51888763,5,No,No,A,3,Medium,11043.77,21,0,No,1,Yes,8/31/2018
No,1,2,0,39.2072948,3,No,No,M,3,Medium,15770.04,22,0,Yes,0,Yes,6/30/2018
No,2,4,0,40.34633413,5,Yes,No,M,2,High,13282.79,16,1,No,0,Yes,7/31/2018
No,1,3,1,19.52366981,6,No,No,A,3,Medium,12461.62,22,0,No,1,Yes,3/31/2018
No,1,0,0,53.90444175,6,No,Yes,A,5,Medium,17536.15,21,1,Yes,2,Yes,2/28/2018
No,2,2,0,55.39823288,5,No,Yes,A,4,Medium,12648.82,17,0,No,1,Yes,1/31/2018
No,2,3,0,34.46293773,7,No,No,A,5,Medium,13668.17,30,1,No,0,Yes,3/31/2018
No,0,1,0,62.57235241,5,No,No,M,2,Medium,6315.49,27,0,No,1,Yes,8/31/2018
No,2,1,0,27.51463372,4,No,No,M,3,Medium,15791.72,19,2,Yes,1,Yes,3/31/2018
No,1,2,0,52.27990576,7,No,No,A,3,Medium,14912.84,22,1,No,1,No,7/31/2018
No,0,0,0,27.23302724,8,No,No,A,3,Medium,15420.22,22,0,No,1,No,9/30/2018
No,2,3,0,46.1967389,4,No,No,A,0,Low,11184.67,17,2,No,0,Yes,5/31/2018
No,1,1,0,24.40612419,8,No,No,P,3,Medium,14609,28,0,Yes,1,No,3/31/2018
No,1,0,1,43.94866004,5,No,No,M,3,Medium,13644.94,19,0,Yes,1,Yes,1/31/2018
No,0,1,0,55.15892852,6,No,No,A,2,Medium,15512.87,21,0,No,0,No,9/30/2018
No,1,2,0,30.27381927,5,No,No,M,4,Medium,10764.99,25,0,Yes,2,Yes,6/30/2018
No,2,4,1,34.05761874,3,No,No,A,2,Medium,11480.28,24,2,No,0,Yes,9/30/2018
No,2,5,2,70.30766477,6,Yes,No,M,1,High,4377.62,13,2,No,0,Yes,3/31/2018
No,1,0,0,41.87235248,7,No,No,P,4,Medium,11463.28,29,0,No,2,No,5/31/2018
No,1,2,1,31.65869215,7,No,No,P,2,Medium,10213.34,25,0,No,1,Yes,3/31/2018
No,1,2,1,47.17196097,6,No,Yes,M,2,Medium,13523.37,26,0,No,0,Yes,3/31/2018
No,1,2,0,48.10381168,7,No,No,A,4,Low,12945.45,22,0,No,1,No,9/30/2018
No,0,0,0,25.93422506,6,No,No,A,3,Medium,10817.22,34,0,No,0,No,7/31/2018
No,2,2,1,45.9921733,5,No,No,A,2,Low,10283.57,28,0,Yes,0,Yes,9/30/2018
No,1,1,0,34.30983771,6,No,Yes,P,4,Low,11739.44,22,0,No,2,Yes,8/31/2018
No,0,1,0,28.91772128,8,No,No,A,2,Medium,14411.89,25,0,Yes,0,Yes,7/31/2018
No,0,2,0,40.82910433,6,No,No,M,1,Medium,13105.06,20,0,No,0,Yes,2/28/2018
No,1,0,0,23.60353665,5,No,Yes,M,3,Medium,14184.52,23,0,No,0,Yes,4/30/2018
No,1,2,1,57.46932827,5,No,No,A,3,Medium,14488.92,20,1,Yes,0,Yes,6/30/2018
No,2,5,2,53.08666809,5,No,No,M,1,High,6359.23,16,0,No,0,No,6/30/2018
No,1,3,1,44.69909584,5,Yes,Yes,A,3,Medium,16781.12,19,0,Yes,0,Yes,7/31/2018
No,1,2,0,37.01350985,6,No,No,P,3,Medium,15068.16,27,1,No,1,Yes,4/30/2018
No,0,2,0,44.46473697,6,No,No,M,4,Medium,11982.04,19,0,No,1,Yes,2/28/2018
No,0,2,0,54.80764728,5,No,No,M,4,Low,10271.94,34,0,No,1,Yes,2/28/2018
No,0,2,1,54.34738792,5,Yes,No,M,2,Medium,11864.28,24,2,No,0,Yes,2/28/2018
No,1,0,0,29.51558179,8,Yes,Yes,A,5,Low,10704.79,25,0,Yes,2,Yes,4/30/2018
No,1,1,1,58.56015439,3,No,Yes,M,1,Medium,7081.17,18,2,No,1,Yes,1/31/2018
No,1,2,0,30.97793729,8,No,No,M,3,Medium,14874.72,19,2,No,1,Yes,6/30/2018
No,1,3,1,50.28932555,6,No,No,M,2,Medium,9561.89,23,1,No,0,No,9/30/2018
No,1,3,1,42.22034926,8,No,No,M,1,Medium,10025.01,19,1,No,0,No,6/30/2018
No,1,2,0,42.14060563,6,No,No,P,5,Medium,14578.61,22,0,No,0,No,1/31/2018
No,2,2,0,47.43319876,4,No,No,A,4,Medium,12497,20,0,Yes,1,Yes,6/30/2018
No,1,1,1,31.27765313,6,No,No,M,0,Medium,7470.05,13,1,No,1,No,12/31/2017
No,1,1,0,32.52067562,5,No,No,M,2,Medium,11671.65,23,1,No,1,Yes,12/31/2017
No,1,2,1,43.84227495,7,No,No,M,3,Low,11785.09,20,2,No,0,Yes,9/30/2018
No,2,3,1,24.46370906,7,No,No,M,0,Low,9359.24,19,1,No,0,No,1/31/2018
No,1,2,0,55.78722245,5,No,No,M,0,High,8181.15,18,2,No,0,No,3/31/2018
No,1,1,0,42.15210912,6,No,No,A,3,Medium,14508.8,23,0,No,1,Yes,1/31/2018
No,0,2,0,50.69341972,7,No,No,M,2,Medium,13763.29,25,0,No,0,Yes,6/30/2018
No,1,2,0,47.28359784,8,No,Yes,P,3,Medium,18098.11,20,0,No,1,Yes,8/31/2018
No,0,0,0,35.0761235,7,No,No,A,4,Medium,16620.55,33,2,No,0,Yes,8/31/2018
No,2,1,1,54.24807485,7,No,No,P,5,Medium,14865.2,26,0,Yes,1,No,5/31/2018
No,2,3,1,49.84586469,5,No,No,M,2,Medium,11773.03,25,2,Yes,1,No,6/30/2018
No,1,1,1,52.86194891,7,No,No,M,3,Medium,8243.07,19,0,No,1,No,7/31/2018
No,1,4,1,40.63561193,5,No,No,M,3,Medium,14406.72,15,0,No,1,Yes,3/31/2018
No,0,1,0,70.09182736,7,No,No,A,4,Medium,12841.25,32,0,Yes,0,No,2/28/2018
No,2,1,0,28.63939551,3,No,No,A,5,Low,17065.64,21,2,Yes,2,Yes,4/30/2018
No,1,2,0,25.66665945,8,No,No,M,2,Low,10684.49,17,0,Yes,1,No,1/31/2018
No,1,1,0,32.23098647,5,No,Yes,M,2,Low,12361.83,26,1,No,1,Yes,9/30/2018
No,0,1,0,32.14499022,8,Yes,Yes,A,3,High,13818.31,19,0,Yes,1,Yes,6/30/2018
No,2,2,0,41.22326723,6,No,No,P,3,Medium,12522.74,30,0,No,1,No,5/31/2018
No,0,0,0,54.05358748,4,No,No,P,4,Medium,15284.97,21,0,Yes,2,Yes,7/31/2018
No,1,0,0,28.02621924,8,No,Yes,A,5,Low,12660.18,21,0,Yes,2,Yes,9/30/2018
No,0,0,0,48.70656554,3,No,No,A,4,Medium,15214.57,26,0,Yes,1,No,1/31/2018
No,1,1,0,54.68284792,6,No,No,M,4,Low,15793.08,11,0,Yes,0,Yes,6/30/2018
No,2,3,1,54.5017098,5,Yes,Yes,M,0,High,5796.59,9,1,No,0,Yes,9/30/2018
No,1,1,0,26.70314521,7,No,Yes,M,4,Medium,14599.91,27,2,No,0,Yes,5/31/2018
No,0,0,1,41.45000672,8,No,No,A,4,Medium,14340.11,29,0,No,1,No,12/31/2017
No,2,1,1,43.34722747,5,No,No,M,2,Low,10485.73,21,2,No,1,No,3/31/2018
No,1,0,0,40.84079403,8,No,No,A,3,Medium,12969.21,24,0,No,0,Yes,5/31/2018
No,2,3,0,51.87976722,5,No,Yes,P,3,Medium,13707.39,25,1,No,0,Yes,1/31/2018
No,2,2,1,63.1851174,7,No,No,M,1,Low,10607.52,15,0,No,0,Yes,9/30/2018
No,1,2,0,57.1117254,5,No,Yes,M,1,Medium,9577.42,19,0,No,0,Yes,2/28/2018
No,2,2,0,47.7503853,6,Yes,Yes,M,2,High,6626.95,21,1,No,0,Yes,5/31/2018
No,0,0,0,40.49792247,6,No,No,M,3,Medium,10418.83,23,0,No,2,No,12/31/2017
No,1,4,1,57.3086501,5,No,No,P,5,Medium,16943.8,21,1,Yes,1,No,6/30/2018
No,1,2,0,30.47389302,7,No,No,M,1,Medium,12028.77,17,0,No,0,Yes,7/31/2018
No,1,3,0,37.10269463,7,No,No,P,5,Medium,12154.45,31,0,Yes,2,No,8/31/2018
No,1,2,0,57.65592509,6,Yes,No,A,5,Low,12259.12,28,0,Yes,1,Yes,5/31/2018
No,1,2,1,47.2251083,7,No,No,P,5,Medium,16237.04,22,0,Yes,1,No,5/31/2018
No,1,2,1,7.636859879,7,No,No,A,3,Medium,11165.69,31,0,No,1,No,8/31/2018
No,0,1,0,62.70081519,8,No,No,A,3,Medium,17468.47,20,0,No,0,Yes,8/31/2018
No,0,0,0,66.0157764,4,No,No,A,2,Low,12704.17,25,0,No,0,Yes,6/30/2018
No,1,2,1,30.10642124,6,No,No,A,3,Medium,13487,28,0,No,1,No,4/30/2018
No,0,0,0,28.32541301,6,No,No,M,4,Medium,18106.27,36,0,No,0,Yes,8/31/2018
No,1,1,1,21.53577628,6,No,No,A,3,Medium,14537.13,16,1,Yes,2,Yes,1/31/2018
No,2,3,0,62.21337436,4,No,No,P,4,Medium,17987.14,18,0,Yes,1,Yes,6/30/2018
No,0,1,0,26.2802886,6,Yes,Yes,M,4,Medium,11637.1,34,2,Yes,2,Yes,6/30/2018
No,1,1,1,32.12772261,5,No,No,A,4,Medium,17495.4,21,0,Yes,0,Yes,1/31/2018
No,2,4,0,59.33671807,3,No,No,M,1,High,5307.84,17,1,No,0,Yes,12/31/2017
No,0,0,0,39.17234118,6,No,No,A,3,Medium,12197.3,15,0,Yes,2,Yes,8/31/2018
No,0,1,1,40.48616704,4,No,No,P,3,Medium,14431.51,25,0,No,0,Yes,7/31/2018
No,1,2,0,32.84983424,6,No,No,A,5,Medium,10495.55,27,0,Yes,2,No,1/31/2018
No,1,3,0,54.74322221,4,Yes,No,M,4,Low,12663.16,27,0,Yes,0,Yes,6/30/2018
No,1,2,1,46.43247689,7,No,No,A,2,Medium,12252,16,0,Yes,1,Yes,9/30/2018
No,2,2,1,25.8138955,7,No,No,M,3,High,9995.77,18,0,Yes,0,Yes,1/31/2018
No,1,2,0,38.67348273,5,No,Yes,A,5,Medium,14323.58,24,2,Yes,2,Yes,6/30/2018
No,2,3,0,49.6433692,5,No,No,A,2,Low,12380.17,18,0,No,0,Yes,3/31/2018
No,1,1,1,35.6212741,7,No,No,A,5,Medium,14841.99,19,1,Yes,2,No,4/30/2018
No,2,2,1,68.71217264,3,Yes,Yes,A,3,Medium,15256.03,21,2,No,0,Yes,9/30/2018
No,2,2,0,54.79244962,6,No,No,A,3,Medium,13061.05,22,0,Yes,0,No,8/31/2018
No,2,0,1,48.23633338,7,No,No,M,4,Medium,15941.11,21,0,No,0,Yes,4/30/2018
No,0,0,0,48.71268193,5,No,No,M,4,Medium,14095.15,28,2,No,1,No,1/31/2018
No,1,1,1,37.45032721,6,No,No,A,3,Medium,12848.82,24,1,No,1,Yes,5/31/2018
No,1,3,0,34.85925882,6,No,No,A,3,Low,13982.06,24,1,No,0,No,8/31/2018
No,1,3,1,72.33030188,5,No,No,P,1,Medium,9455.29,21,0,No,0,No,5/31/2018
No,0,2,1,45.25700475,6,No,No,A,2,Low,6811.21,16,0,No,1,No,7/31/2018
No,1,0,0,42.27465528,7,No,No,A,2,Medium,12001.34,18,0,No,0,Yes,3/31/2018
No,1,2,0,46.47133786,6,No,No,A,2,Medium,11850.93,27,0,No,1,No,7/31/2018
No,1,1,0,32.27008729,5,No,No,M,4,High,16850.73,27,2,No,0,Yes,1/31/2018
No,0,2,1,52.16512335,4,No,No,A,3,Medium,13260.68,21,0,Yes,2,Yes,8/31/2018
No,0,2,0,39.15723576,4,No,No,M,3,Low,11591.01,19,0,No,0,Yes,9/30/2018
No,2,3,0,23.83637371,8,No,No,A,4,Medium,13118.99,29,0,Yes,1,No,5/31/2018
No,0,0,1,34.34799562,6,No,No,A,5,Medium,15934.25,26,0,Yes,1,Yes,3/31/2018
No,0,2,0,20.50120726,6,Yes,No,A,3,High,8931.67,32,1,Yes,1,Yes,2/28/2018
No,1,3,1,50.83362005,6,No,No,P,5,Medium,11728.46,23,0,Yes,2,No,1/31/2018
No,2,2,1,39.7797914,6,No,No,A,2,Medium,10957.85,22,2,Yes,1,Yes,3/31/2018
No,1,1,1,32.89018141,6,No,No,P,5,Medium,15362.37,31,0,No,0,Yes,3/31/2018
No,0,0,0,16.18476841,6,No,Yes,A,5,Medium,16505.72,33,0,No,1,No,9/30/2018
No,2,3,0,62.61875259,7,No,No,A,2,Medium,10694.27,15,0,No,1,No,6/30/2018
No,1,2,2,44.83515491,4,Yes,No,P,4,Medium,13331.4,26,2,No,1,No,12/31/2017
No,2,2,1,76.9393736,3,No,Yes,M,0,Medium,8246.87,17,1,No,0,No,5/31/2018
No,2,3,0,35.17406239,4,No,Yes,M,2,Medium,11056.78,13,1,No,1,No,8/31/2018
No,0,1,1,24.74902273,7,No,No,A,4,Medium,13806.8,27,0,Yes,1,No,5/31/2018
No,1,1,1,19.06320598,8,No,No,M,2,Medium,15683.15,23,1,No,0,Yes,9/30/2018
No,0,1,0,38.61396457,5,No,No,M,5,Medium,12406.38,25,0,No,1,Yes,8/31/2018
No,0,1,0,40.50737545,6,No,No,A,5,Medium,11567.94,30,0,No,1,Yes,8/31/2018
No,1,1,1,14.83638009,6,No,No,M,2,Low,14710.38,19,2,No,0,Yes,3/31/2018
No,1,1,1,25.69209008,7,No,No,A,3,Low,11896.76,22,0,No,0,Yes,4/30/2018
No,2,1,0,36.85739232,7,No,No,A,2,Medium,8383.95,29,0,No,1,No,5/31/2018
No,2,2,0,37.77842937,4,No,No,M,3,Medium,10793.73,24,2,No,1,No,12/31/2017
No,1,1,1,61.2473813,7,No,No,A,2,Low,12947.3,18,0,Yes,0,No,2/28/2018
No,0,0,0,45.47199777,7,No,No,M,2,Medium,13591.92,22,2,No,0,Yes,4/30/2018
No,1,1,0,45.38786745,8,No,Yes,P,5,Low,14558,27,0,Yes,1,No,6/30/2018
No,1,2,0,32.32429003,6,No,No,M,3,Medium,11599.98,25,2,No,1,No,9/30/2018
No,2,1,1,55.21612716,3,No,Yes,M,2,Medium,9716.41,17,1,No,0,Yes,12/31/2017
No,1,1,0,42.70720455,8,No,No,M,1,Medium,9368.61,16,0,Yes,1,Yes,7/31/2018
No,2,4,0,26.22226099,8,No,No,A,2,Medium,10575.92,27,0,No,0,No,9/30/2018
No,0,0,1,38.98496026,6,No,No,A,5,Low,18309.71,34,0,Yes,0,No,4/30/2018
No,1,1,0,40.4359886,5,No,No,M,3,Low,15074.58,20,2,No,1,No,9/30/2018
No,2,3,0,39.742452,5,No,No,A,1,High,11637.9,17,0,No,0,Yes,6/30/2018
No,1,1,0,44.0620085,8,No,No,M,3,Medium,13719.32,23,0,No,0,No,8/31/2018
No,1,1,1,18.88550832,5,No,No,P,5,Medium,17298.45,21,0,Yes,2,Yes,4/30/2018
No,1,0,0,16.01131601,7,No,No,M,3,Medium,12891.64,27,0,No,1,Yes,9/30/2018
No,1,2,1,57.5549549,5,No,No,M,1,Low,11938.48,17,0,No,0,No,6/30/2018
No,0,0,0,48.22311326,6,No,No,A,3,High,12849.08,20,0,No,1,Yes,12/31/2017
No,0,0,0,28.16765543,8,No,No,P,5,Medium,15832.87,31,0,Yes,1,No,3/31/2018
No,0,1,1,20.32184123,7,No,No,M,4,Medium,11673.52,29,0,No,0,Yes,2/28/2018
No,1,2,0,30.07537424,5,No,No,P,3,Medium,17289.79,22,1,No,1,No,12/31/2017
No,2,3,0,39.8503577,6,No,No,P,2,High,17485.87,14,2,No,1,Yes,12/31/2017
No,1,2,0,46.75784351,6,No,No,A,4,Medium,17301.16,23,0,No,1,Yes,9/30/2018
No,0,3,1,29.39147793,6,Yes,No,M,4,Low,16726.94,23,2,Yes,0,Yes,7/31/2018
No,1,3,0,70.25146749,4,No,No,M,3,Medium,12663.97,19,0,No,0,Yes,8/31/2018
No,1,3,1,41.34079495,5,No,No,M,1,Medium,6251,11,0,Yes,2,Yes,12/31/2017
No,1,2,1,44.09790286,6,No,No,A,5,Medium,14924.83,28,0,No,1,Yes,9/30/2018
No,0,1,1,24.01307735,6,Yes,Yes,M,4,Low,15347.56,19,2,No,1,Yes,12/31/2017
No,1,0,1,58.1211764,5,No,No,M,4,Low,12155.42,19,0,No,0,Yes,1/31/2018
No,1,1,1,38.34041222,7,No,No,M,2,Medium,12624.5,19,1,Yes,1,Yes,9/30/2018
No,2,0,0,54.45259373,7,No,No,P,5,Low,16171.39,21,1,Yes,1,No,3/31/2018
No,2,1,1,50.96656483,4,No,Yes,M,2,Medium,9650.98,17,0,No,1,Yes,3/31/2018
No,1,2,0,37.50938819,7,No,No,A,5,Medium,18390.27,28,2,No,1,No,7/31/2018
No,2,3,0,56.12805468,7,No,No,A,2,High,14315.53,24,2,No,0,No,8/31/2018
No,2,2,1,54.33517569,4,No,No,A,3,Low,12951.1,20,0,Yes,0,Yes,7/31/2018
No,0,1,0,43.34574036,6,No,No,M,3,Medium,17874.51,20,1,No,1,No,5/31/2018
No,0,1,1,33.98283931,5,No,No,A,5,Medium,15068.02,19,0,Yes,1,No,4/30/2018
No,1,2,1,53.09551458,7,No,No,P,4,Medium,16364.11,17,2,Yes,2,No,5/31/2018
No,1,0,0,38.29461703,7,No,No,A,2,Medium,13466.38,16,0,Yes,2,Yes,8/31/2018
No,2,1,1,21.45947332,5,No,No,M,2,Medium,10706.47,21,0,No,0,Yes,12/31/2017
No,1,1,0,26.32234289,5,No,No,M,1,Medium,16147.04,28,1,No,1,Yes,4/30/2018
No,1,3,0,40.00921604,7,No,No,M,2,Medium,8464.36,24,0,No,1,No,7/31/2018
No,1,2,1,49.25936368,5,No,No,M,2,Low,8471.54,25,1,No,0,Yes,3/31/2018
No,2,1,0,46.30048736,6,No,No,M,5,Medium,9141.02,26,0,Yes,1,Yes,6/30/2018
No,2,2,1,66.08467618,4,No,No,M,2,High,10607.45,18,1,No,0,Yes,6/30/2018
No,2,3,1,53.55646552,6,Yes,Yes,M,2,High,8471.05,11,0,No,0,Yes,6/30/2018
No,1,1,0,55.56482998,5,No,No,P,5,Medium,11323.58,27,0,Yes,2,No,6/30/2018
No,1,2,0,29.42368518,6,No,No,M,3,Medium,12629.14,17,0,No,1,No,1/31/2018
No,1,2,1,57.16009934,5,No,No,M,3,Medium,13163.37,17,0,Yes,1,Yes,5/31/2018
No,1,2,0,46.93755957,6,Yes,Yes,M,2,High,8949.87,21,1,No,0,Yes,3/31/2018
No,1,2,0,32.22114047,7,No,No,A,4,Medium,14949.07,18,0,Yes,1,No,7/31/2018
No,2,2,0,32.37958256,5,No,No,P,5,Medium,16276.75,23,0,Yes,2,Yes,1/31/2018
No,1,2,2,56.30299158,6,Yes,No,P,3,High,8606.85,22,1,No,0,No,3/31/2018
No,0,2,0,26.51742549,5,No,No,M,4,Low,10868.64,31,0,No,1,No,8/31/2018
No,1,0,0,38.44606716,8,No,No,P,5,Medium,18968.3,26,0,Yes,1,Yes,5/31/2018
No,1,2,1,41.90887993,6,No,No,A,0,Medium,14139.47,12,0,No,0,No,6/30/2018
No,1,0,0,45.75484508,7,No,No,M,4,Low,14367.57,25,2,Yes,2,Yes,12/31/2017
No,0,2,1,60.17765475,5,Yes,Yes,A,3,High,13612.44,31,2,No,0,Yes,2/28/2018
No,1,4,1,54.8614067,5,No,No,M,2,High,6989.89,15,0,No,0,Yes,4/30/2018
No,2,4,1,75.93723737,3,Yes,No,A,2,High,12141.66,13,2,Yes,0,Yes,12/31/2017
No,0,0,0,24.08599829,6,No,No,M,2,Medium,10755.21,22,0,No,0,Yes,1/31/2018
No,1,2,0,50.41305477,6,No,No,M,1,Medium,9651.98,23,1,No,0,Yes,9/30/2018
No,1,2,0,35.97648048,6,No,No,A,5,Low,11648.6,31,2,No,0,No,8/31/2018
No,0,1,1,42.41868674,6,No,No,A,2,Medium,12707.38,10,0,Yes,2,No,7/31/2018
No,1,1,1,62.82270305,8,Yes,No,P,3,Low,13613.13,26,0,Yes,0,No,9/30/2018
No,1,2,0,44.78770248,7,No,No,M,2,High,13165.77,18,1,No,0,Yes,8/31/2018
No,1,2,1,47.04413338,6,No,No,M,3,Medium,13330.71,22,1,Yes,1,Yes,1/31/2018
No,1,1,1,40.0257132,6,No,Yes,A,5,Medium,10374.93,20,0,No,1,Yes,2/28/2018
No,1,2,0,36.95631317,5,No,No,M,2,Low,13282.48,23,1,No,0,No,1/31/2018
No,1,1,0,38.40431897,3,No,Yes,M,1,Low,9524.89,16,1,No,1,Yes,4/30/2018
No,2,2,0,58.5373886,5,No,No,M,1,Low,8430.96,16,0,No,0,No,9/30/2018
No,0,0,0,54.4363804,8,No,No,A,4,Medium,17102.65,16,0,Yes,1,No,7/31/2018
No,2,3,1,34.62710253,7,No,No,M,2,Low,11210.87,22,1,No,0,Yes,12/31/2017
No,1,1,0,21.68226274,6,No,Yes,M,4,High,9774.44,20,0,No,0,Yes,2/28/2018
No,1,1,0,29.22718059,5,No,Yes,A,5,Medium,16653.09,28,0,Yes,0,Yes,12/31/2017
No,1,1,0,35.29155789,7,No,No,M,3,Medium,10082.53,26,0,No,1,No,12/31/2017
No,2,3,1,56.74115743,4,No,No,M,3,Medium,12673.79,23,1,No,0,Yes,4/30/2018
No,1,1,2,27.69564809,6,No,No,P,5,Medium,17222.82,27,0,Yes,1,No,12/31/2017
No,1,1,1,33.9424356,6,No,No,P,5,High,16533.62,20,0,Yes,1,No,6/30/2018
No,1,1,0,49.24865604,5,No,No,P,5,Medium,16240.37,27,0,No,0,No,9/30/2018
No,1,1,0,34.54045876,5,No,No,A,3,Medium,10771.56,26,0,Yes,1,Yes,3/31/2018
No,0,2,0,31.37787528,6,No,No,M,3,Medium,13647.71,31,0,No,0,No,6/30/2018
No,1,2,1,62.53768397,5,No,No,M,2,Low,6093.62,18,0,No,0,No,5/31/2018
No,0,2,0,39.10695851,6,No,No,M,2,Medium,13427.46,21,2,No,0,Yes,1/31/2018
No,1,0,0,42.87975694,5,No,No,M,2,Medium,15234.7,16,2,No,0,Yes,12/31/2017
No,1,2,0,26.46255606,5,No,No,A,5,Medium,15336.75,21,0,Yes,2,No,9/30/2018
No,1,2,1,32.00104685,5,No,No,M,2,Medium,16742.96,19,2,No,0,Yes,2/28/2018
No,1,3,0,42.15666671,6,No,No,A,2,Medium,10390.76,22,0,No,1,Yes,12/31/2017
No,2,3,0,30.58716595,7,No,No,M,3,Medium,9068.1,21,0,No,1,Yes,1/31/2018
No,1,1,0,49.29611671,6,No,Yes,M,3,Medium,15215.37,14,0,Yes,0,Yes,7/31/2018
No,2,2,1,32.34944877,6,No,No,A,1,Low,6917.32,21,0,Yes,1,Yes,6/30/2018
No,1,0,0,42.77816829,7,No,No,M,3,Medium,6727.9,26,0,No,1,No,4/30/2018
No,2,2,1,37.93937581,6,No,Yes,A,1,High,9394.62,25,2,No,0,Yes,3/31/2018
No,1,1,0,43.25700066,8,No,No,P,4,Medium,16758.69,31,2,Yes,0,No,8/31/2018
No,0,1,0,39.89047559,5,No,No,A,3,Medium,12331.42,26,1,No,1,No,6/30/2018
No,1,1,0,43.36326641,5,No,No,P,4,Medium,14340.64,17,0,Yes,2,Yes,7/31/2018
No,1,3,1,44.12505272,3,No,No,P,3,High,16912.86,18,2,No,1,Yes,1/31/2018
No,2,3,0,28.54304854,7,No,No,P,2,High,12687.25,27,0,No,0,Yes,3/31/2018
No,1,1,0,30.29607845,6,No,No,A,5,Medium,18075.21,25,0,Yes,1,Yes,7/31/2018
No,1,0,1,34.34511543,5,No,No,M,4,Medium,16000.11,22,2,Yes,2,Yes,3/31/2018
No,1,2,0,42.78253838,3,No,No,A,5,Medium,15659.23,29,1,Yes,0,Yes,9/30/2018
No,1,2,0,33.88076006,8,No,No,M,3,Medium,8834.81,30,0,No,0,No,6/30/2018
No,0,1,0,46.05476968,5,No,No,A,4,Medium,16717.72,26,2,No,1,Yes,6/30/2018
No,1,2,0,45.49020167,6,No,No,A,5,Medium,13749.34,18,0,No,2,No,9/30/2018
No,0,0,0,35.63756287,8,No,No,M,5,Medium,14093.03,22,0,No,1,Yes,4/30/2018
